标题,详细,地址,房型,价格,链接
宝山区-友家公寓（淞发路50号）,"交通购物超便利, 视野开阔, 拎包入住",距3号线淞发路290米,1室1厅1卫-18.0㎡ 1580房,1680,http://www.mgzf.com/room/519626.shtml?page=list&sourceType=2
松江区-凯富人才公寓,【公司直租 无中价费】整租 全新精装公寓 拎包入住 独立卫浴,位于 松江科技园 附近,1室0厅1卫-15.0㎡ 朝东大床房A,1300,http://www.mgzf.com/room/11022449.shtml?page=list&sourceType=2
浦东新区-浦发绿城901弄,"地处中心地段, 绿化覆盖率高, 采光充足",距11号线浦三路880米,2室2厅1卫-80.0㎡ ,6000,http://www.mgzf.com/room/15204301.shtml?page=list&sourceType=2
浦东新区-银马苑,"（网红租房）会员终身免佣交通便利, 中高楼层, 家具齐全",距8号线杨思306米,1室0厅1卫-36.0㎡ ,2350,http://www.mgzf.com/room/15292663.shtml?page=list&sourceType=2
浦东新区-极客公寓（川沙店）,精装公寓一室一卫，商超便利，新年特惠，月月租金减免200元,距2号线东延伸段川沙728米,1室0厅1卫-19.0㎡ 内窗一室,1388,http://www.mgzf.com/room/13934413.shtml?page=list&sourceType=2
浦东新区-上南二村,"地理位置优越, 地铁房, 精装修房",距7号线耀华路297米,1室2厅1卫-49.0㎡ ,3600,http://www.mgzf.com/room/15283927.shtml?page=list&sourceType=2
浦东新区-川杨新苑(二期),付一押一 可包水网费 独立厨卫 非合租 近张江高科软件园旁！,距13号线张江路333米,1室1厅1卫-32.0㎡ ,1600,http://www.mgzf.com/room/15449533.shtml?page=list&sourceType=2
杨浦区-湾流国际青年社区（隆昌路店）,"周边设施齐全, 中高楼层, 配备宽带",距12号线隆昌路538米,1室0厅1卫-30.0㎡ 原生裸心风C,5100,http://www.mgzf.com/room/8148297.shtml?page=list&sourceType=2
宝山区-友家联盟社区（水产路店）,"地铁沿线, 安静宜居, 配备宽带",距3号线水产路482米,1室0厅1卫-21.0㎡ 2180房型,2180,http://www.mgzf.com/room/10766969.shtml?page=list&sourceType=2
浦东新区-大华锦绣华城4街区,13号线地铁零距离，可直达南京西路，,距13号线华鹏路560米,四居室-南卧-24.0㎡,2900,http://www.mgzf.com/room/15229651.shtml?page=list&sourceType=2
浦东新区-金苹果花园,"交通便捷, 性价比高, 拎包入住",距6号线灵岩南路862米,2室2厅1卫-98.0㎡ ,6500,http://www.mgzf.com/room/15227323.shtml?page=list&sourceType=2
浦东新区-华夏小区,八号线杨思地铁口，黄金三楼，老装修一房，价格超级便宜，随时看,距8号线杨思259米,1室1厅1卫-35.0㎡ ,3000,http://www.mgzf.com/room/15216487.shtml?page=list&sourceType=2
浦东新区-东方康安家园,"周边设施齐全, 性价比高, 舍友素质高",距8号线芦恒路1173米,1室0厅0卫-13.0㎡ ,1100,http://www.mgzf.com/room/15203920.shtml?page=list&sourceType=2
杨浦区-湾流国际青年社区（隆昌路店）,"交通便捷, 可随时看房, 配备宽带",距12号线隆昌路538米,1室1厅1卫-30.0㎡ 原生裸心风中庭大,4400,http://www.mgzf.com/room/8146206.shtml?page=list&sourceType=2
杨浦区-彩虹小居2幢,"地理位置优越, 高档品质小区, 家具齐全",距10号线三门路655米,1室1厅1卫-30.0㎡ 南三上层,4480,http://www.mgzf.com/room/6246148.shtml?page=list&sourceType=2
宝山区-友家公寓（淞发路6号）,"社区配套成熟, 安静宜居, 精装修房",距3号线淞发路234米,1室0厅1卫-26.0㎡ 2280房,2380,http://www.mgzf.com/room/519923.shtml?page=list&sourceType=2
宝山区-上坤极客公寓1号楼,"地理位置优越, 可随时看房, 采光充足",距1号线宝安公路393米,1室1厅1卫-30.0㎡ 朝北大户型,2868,http://www.mgzf.com/room/7806846.shtml?page=list&sourceType=2
松江区-莱顿小城,"周边设施齐全, 黄金楼层, 电梯房",距9号线松江大学城1917米,四居室-南卧-25.0㎡,2100,http://www.mgzf.com/room/2841562.shtml?page=list&sourceType=2
宝山区-友家公寓（淞发路50号）,"交通购物超便利, 视野开阔, 拎包入住",距3号线淞发路290米,1室1厅1卫-18.0㎡ 1580房,1680,http://www.mgzf.com/room/519626.shtml?page=list&sourceType=2
浦东新区-浦发绿城850弄,"交通便利, 可随时看房, 拎包入住",距11号线浦三路507米,2室2厅1卫-80.0㎡ ,4800,http://www.mgzf.com/room/15208342.shtml?page=list&sourceType=2
浦东新区-东方康达家苑二期,（微租公寓）会员终身免佣   ,距8号线芦恒路715米,1室0厅1卫-20.0㎡ ,1850,http://www.mgzf.com/room/15208462.shtml?page=list&sourceType=2
嘉定区-爱德佳苑16号,"地处繁华商圈, 黄金楼层, 精装修房",位于 江桥 附近,1室0厅1卫-18.0㎡ 爱德佳苑精装独卫,1580,http://www.mgzf.com/room/6200038.shtml?page=list&sourceType=2
杨浦区-湾流国际青年社区（隆昌路店）,"周边设施齐全, 性价比高, 舍友素质高",距12号线隆昌路538米,1室0厅1卫-30.0㎡ 原生裸心风南A,4850,http://www.mgzf.com/room/8148273.shtml?page=list&sourceType=2
浦东新区-川杨新苑南区,专为学生毕业打造 独立厨卫 非合租 精装全配 近张江高科旁,距13号线张江路175米,三居室-南卧-25.0㎡,1250,http://www.mgzf.com/room/15405184.shtml?page=list&sourceType=2
浦东新区-申江豪城,"交通便利, 性价比高, 家具齐全",距8号线杨思702米,2室2厅1卫-98.0㎡ ,6500,http://www.mgzf.com/room/15194956.shtml?page=list&sourceType=2
浦东新区-银马苑,"（网红租房）会员终身免佣交通便利, 安静宜居, 配备宽带",距8号线杨思306米,2室1厅1卫-88.0㎡ ,4600,http://www.mgzf.com/room/15292744.shtml?page=list&sourceType=2
浦东新区-新世纪花苑一期,此房格局方正，朝向好，阳光非常充足，面积使用率超高,距7号线长清路113米,二居室-南卧-33.0㎡,2200,http://www.mgzf.com/room/15229180.shtml?page=list&sourceType=2
浦东新区-银马苑,"（网红租房）交通便利, 视野开阔, 独立卫浴",距8号线杨思306米,1室0厅1卫-36.0㎡ ,2300,http://www.mgzf.com/room/15292687.shtml?page=list&sourceType=2
杨浦区-湾流国际青年社区（隆昌路店）,"交通便捷, 可随时看房, 配备宽带",距12号线隆昌路538米,1室1厅1卫-30.0㎡ 原生裸心风中庭大,4400,http://www.mgzf.com/room/8146206.shtml?page=list&sourceType=2
浦东新区-申城佳苑A区,近百度 盛大 惠生 药谷 性价比超高 独立厨卫 非合租 精装,距13号线张江路860米,2室1厅1卫-70.0㎡ ,4300,http://www.mgzf.com/room/15468583.shtml?page=list&sourceType=2
杨浦区-湾流国际青年社区（隆昌路店）,"交通购物超便利, 可随时看房, 房间干净整洁",距12号线隆昌路538米,1室0厅1卫-30.0㎡ 原生裸心风A,4000,http://www.mgzf.com/room/8148291.shtml?page=list&sourceType=2
浦东新区-瑞康苑,网红租房，会员终身免佣金,距8号线芦恒路1223米,3室1厅1卫-99.0㎡ ,4300,http://www.mgzf.com/room/15273271.shtml?page=list&sourceType=2
浦东新区-银马苑,"（网红租房）会员终身免佣交通便利, 中高楼层, 家具齐全",距8号线杨思306米,1室0厅1卫-36.0㎡ ,2350,http://www.mgzf.com/room/15292663.shtml?page=list&sourceType=2
静安区-友家公寓中山北路店,"地理位置优越, 绿化覆盖率高, 舍友素质高",距1号线中山北路826米,1室0厅1卫-18.0㎡ 标间大房,2480,http://www.mgzf.com/room/5970739.shtml?page=list&sourceType=2
杨浦区-湾流国际青年社区（隆昌路店）,"地理位置优越, 视野开阔, 房间朝向好",距12号线隆昌路538米,1室0厅1卫-30.0㎡ 瑞典简约风D,4500,http://www.mgzf.com/room/8147667.shtml?page=list&sourceType=2
松江区-凯富人才公寓,"交通购物超便利, 黄金楼层, 独立卫浴",位于 松江科技园 附近,1室0厅1卫-13.8㎡ 经济型B,900,http://www.mgzf.com/room/11020682.shtml?page=list&sourceType=2
松江区-莱顿小城,"周边设施齐全, 黄金楼层, 电梯房",距9号线松江大学城1917米,四居室-南卧-25.0㎡,2100,http://www.mgzf.com/room/2841562.shtml?page=list&sourceType=2
闵行区-浦恒馨苑,八号线芦恒路！整租一室户！到地铁一公里！押一付一！,位于 浦江镇 附近,1室1厅1卫-52.0㎡ ,1480,http://www.mgzf.com/room/15144799.shtml?page=list&sourceType=2
浦东新区-友家社区联盟（大同路店）,"地处中心地段, 性价比高, 配备宽带",位于 高行 附近,1室0厅1卫-26.0㎡ 复式房型二,1200,http://www.mgzf.com/room/2587165.shtml?page=list&sourceType=2
闵行区-滨浦新苑二村,八号线芦恒路！整租大一房！到地铁一公里！押一付一！,距8号线沈杜公路797米,1室1厅1卫-65.0㎡ ,2500,http://www.mgzf.com/room/15144808.shtml?page=list&sourceType=2
松江区-荣乐五村,"社区配套成熟, 安静宜居, 房间朝向好",距9号线松江体育中心633米,三居室-北卧-20.0㎡,1300,http://www.mgzf.com/room/389772.shtml?page=list&sourceType=2
浦东新区-士韵家园（二期）,（ 微 租 公 寓 ）会 员 终 生 免 佣,距8号线芦恒路626米,3室1厅1卫-98.0㎡ ,4600,http://www.mgzf.com/room/15218869.shtml?page=list&sourceType=2
浦东新区-大华锦绣华城4街区,13号线地铁零距离，可直达南京西路，,距13号线华鹏路560米,四居室-南卧-24.0㎡,2900,http://www.mgzf.com/room/15229651.shtml?page=list&sourceType=2
浦东新区-浦电路331弄,(微租公寓)会员终生免佣,距6号线浦电路49米,1室0厅1卫-22.0㎡ ,2300,http://www.mgzf.com/room/15296869.shtml?page=list&sourceType=2
浦东新区-玉兰香苑三期,"地处繁华商圈, 物业管理严格, 采光充足",距13号线张江路997米,四居室-南卧-30.0㎡,2700,http://www.mgzf.com/room/15204979.shtml?page=list&sourceType=2
杨浦区-湾流国际青年社区（隆昌路店）,"地铁沿线, 中高楼层, 采光充足",距12号线隆昌路538米,1室0厅1卫-30.0㎡ 原生裸心风南E,4650,http://www.mgzf.com/room/8148285.shtml?page=list&sourceType=2
浦东新区-银马苑,"（网红租房）交通便利, 视野开阔, 独立卫浴",距8号线杨思306米,1室0厅1卫-36.0㎡ ,2300,http://www.mgzf.com/room/15292687.shtml?page=list&sourceType=2
静安区-友家公寓中山北路店,"地理位置优越, 绿化覆盖率高, 舍友素质高",距1号线中山北路826米,1室0厅1卫-18.0㎡ 标间大房,2480,http://www.mgzf.com/room/5970739.shtml?page=list&sourceType=2
宝山区-友家公寓（淞发路50号）,"交通购物超便利, 视野开阔, 拎包入住",距3号线淞发路290米,1室1厅1卫-18.0㎡ 1580房,1680,http://www.mgzf.com/room/519626.shtml?page=list&sourceType=2
嘉定区-爱德佳苑16号,"地处繁华商圈, 黄金楼层, 精装修房",位于 江桥 附近,1室0厅1卫-18.0㎡ 爱德佳苑精装独卫,1580,http://www.mgzf.com/room/6200038.shtml?page=list&sourceType=2
杨浦区-湾流国际青年社区（隆昌路店）,"地处中心地段, 安静宜居, 精装修房",距12号线隆昌路538米,1室0厅1卫-30.0㎡ 原生裸心风南B,4800,http://www.mgzf.com/room/8148276.shtml?page=list&sourceType=2
浦东新区-银马苑,"（网红租房）交通便利, 视野开阔, 配备宽带",距8号线杨思306米,2室1厅1卫-88.0㎡ ,4700,http://www.mgzf.com/room/15292732.shtml?page=list&sourceType=2
浦东新区-浦发绿城901弄,"地处中心地段, 绿化覆盖率高, 采光充足",距11号线浦三路880米,2室2厅1卫-80.0㎡ ,6000,http://www.mgzf.com/room/15204301.shtml?page=list&sourceType=2
宝山区-友家公寓（淞发路6号）,"社区配套成熟, 安静宜居, 精装修房",距3号线淞发路234米,1室0厅1卫-26.0㎡ 2280房,2380,http://www.mgzf.com/room/519923.shtml?page=list&sourceType=2
浦东新区-友家社区联盟（大同路店）,"交通购物超便利, 物业管理严格, 采光充足",位于 高行 附近,1室0厅1卫-30.0㎡ 阳光房三,1700,http://www.mgzf.com/room/2584903.shtml?page=list&sourceType=2
宝山区-友家公寓（淞发路50号）,"地处中心地段, 治安良好, 配备宽带",距3号线淞发路290米,1室1厅1卫-22.0㎡ 1880房,1880,http://www.mgzf.com/room/519637.shtml?page=list&sourceType=2
浦东新区-川杨新苑(二期),地铁13号线近在迟尺 非合租 精装全配 近百度 盛大 汇智！,距13号线张江路333米,2室1厅1卫-70.0㎡ ,4350,http://www.mgzf.com/room/15468571.shtml?page=list&sourceType=2
浦东新区-申城佳苑A区,近百度 盛大 惠生 药谷 性价比超高 独立厨卫 非合租 精装,距13号线张江路860米,2室1厅1卫-70.0㎡ ,4300,http://www.mgzf.com/room/15468583.shtml?page=list&sourceType=2
静安区-蚂蚁公舍（中山北路店）,"地理位置优越, 高档品质小区, 配备宽带",距1号线中山北路383米,1室1厅1卫-30.0㎡ 上层外窗,3980,http://www.mgzf.com/room/636425.shtml?page=list&sourceType=2
浦东新区-川杨新苑南区,专为学生毕业打造 独立厨卫 非合租 精装全配 近张江高科旁,距13号线张江路175米,三居室-南卧-25.0㎡,1250,http://www.mgzf.com/room/15405184.shtml?page=list&sourceType=2
浦东新区-金光一村,金光一村，坐拥地铁6号线，南北通透，真宗1房，急租,距6号线上南路441米,1室1厅1卫-42.0㎡ ,2900,http://www.mgzf.com/room/15185827.shtml?page=list&sourceType=2
浦东新区-友家社区联盟（大同路店）,"地处中心地段, 性价比高, 配备宽带",位于 高行 附近,1室0厅1卫-26.0㎡ 复式房型二,1200,http://www.mgzf.com/room/2587165.shtml?page=list&sourceType=2
浦东新区-世华锦城,"周边设施齐全, 绿化覆盖率高, 精装修房",距8号线杨思601米,1室1厅1卫-58.0㎡ ,4200,http://www.mgzf.com/room/15227347.shtml?page=list&sourceType=2
松江区-荣乐五村,"社区配套成熟, 安静宜居, 房间朝向好",距9号线松江体育中心633米,三居室-北卧-20.0㎡,1300,http://www.mgzf.com/room/389772.shtml?page=list&sourceType=2
静安区-蚂蚁公舍（中山北路店）,"交通购物超便利, 治安良好, 舍友素质高",距1号线中山北路383米,1室1厅1卫-25.0㎡ 下层外窗,3580,http://www.mgzf.com/room/636489.shtml?page=list&sourceType=2
浦东新区-大华锦绣华城4街区,13号线地铁零距离，可直达南京西路，,距13号线华鹏路560米,四居室-南卧-24.0㎡,2400,http://www.mgzf.com/room/15229657.shtml?page=list&sourceType=2
杨浦区-湾流国际青年社区（隆昌路店）,"社区配套成熟, 治安良好, 采光充足",距12号线隆昌路538米,1室0厅1卫-30.0㎡ 原生裸心风南D,4700,http://www.mgzf.com/room/8148282.shtml?page=list&sourceType=2
浦东新区-华夏小区,八号线杨思地铁口，黄金三楼，老装修一房，价格超级便宜，随时看,距8号线杨思259米,1室1厅1卫-35.0㎡ ,3000,http://www.mgzf.com/room/15216487.shtml?page=list&sourceType=2
宝山区-友家联盟社区（水产路店）,"地铁沿线, 安静宜居, 配备宽带",距3号线水产路482米,1室0厅1卫-21.0㎡ 2180房型,2180,http://www.mgzf.com/room/10766969.shtml?page=list&sourceType=2
杨浦区-彩虹小居2幢,"地理位置优越, 高档品质小区, 家具齐全",距10号线三门路655米,1室1厅1卫-30.0㎡ 南三上层,4480,http://www.mgzf.com/room/6246148.shtml?page=list&sourceType=2
浦东新区-鹤兴苑,距离川沙地铁5分钟步行 周边实施齐全 民用水电 燃气做饭,距2号线东延伸段川沙1011米,4室1厅2卫-130.0㎡ ,6000,http://www.mgzf.com/room/15295261.shtml?page=list&sourceType=2
浦东新区-东方康达家苑二期,（微租公寓）会员终身免佣   ,距8号线芦恒路715米,1室0厅1卫-20.0㎡ ,1850,http://www.mgzf.com/room/15208462.shtml?page=list&sourceType=2
嘉定区-爱德佳苑16号,"地处繁华商圈, 黄金楼层, 精装修房",位于 江桥 附近,1室0厅1卫-18.0㎡ 爱德佳苑精装独卫,1580,http://www.mgzf.com/room/6200038.shtml?page=list&sourceType=2
徐汇区-梵高馆,全屋地暖，4房2厅3卫。,距9号线嘉善路370米,4室2厅3卫-230.0㎡ ,45000,http://www.mgzf.com/room/15294508.shtml?page=list&sourceType=2
浦东新区-川杨新苑(二期),付一押一 可包水网费 独立厨卫 非合租 近张江高科软件园旁！,距13号线张江路333米,1室1厅1卫-32.0㎡ ,1600,http://www.mgzf.com/room/15449533.shtml?page=list&sourceType=2
浦东新区-川杨新苑三期,实习生的福利 经济又实惠 近张江高科旁 有多套急租 可拎包住,距13号线张江路483米,2室1厅1卫-70.0㎡ ,4380,http://www.mgzf.com/room/15468625.shtml?page=list&sourceType=2
浦东新区-思浦小区436弄,整租一居室，面积小旦五脏俱全，看房免费,距8号线杨思133米,1室1厅1卫-42.0㎡ ,4600,http://www.mgzf.com/room/15253843.shtml?page=list&sourceType=2
闵行区-浦江瑞和城捌街区,"房间照片实拍, 绿化覆盖率高, 家具齐全",距轨道交通浦江线汇臻路1003米,2室2厅1卫-82.0㎡ ,2200,http://www.mgzf.com/room/15192868.shtml?page=list&sourceType=2
浦东新区-玉兰香苑三期,"地处繁华商圈, 物业管理严格, 采光充足",距13号线张江路997米,四居室-南卧-30.0㎡,2700,http://www.mgzf.com/room/15204979.shtml?page=list&sourceType=2
浦东新区-银马苑,"（网红租房）交通便利, 视野开阔, 配备宽带",距8号线杨思306米,2室1厅1卫-88.0㎡ ,4700,http://www.mgzf.com/room/15292732.shtml?page=list&sourceType=2
松江区-东鼎名人府邸,"东鼎名人府邸，地理位置优越, 高档品质小区, 采光充足",位于 松江新城 附近,六居室-南卧-18.0㎡,1800,http://www.mgzf.com/room/2164036.shtml?page=list&sourceType=2
浦东新区-银马苑,"（网红租房）会员终身免佣交通便利, 安静宜居, 配备宽带",距8号线杨思306米,2室1厅1卫-88.0㎡ ,4600,http://www.mgzf.com/room/15292744.shtml?page=list&sourceType=2
浦东新区-世华锦城,"社区配套成熟, 黄金楼层, 配备宽带",距8号线杨思601米,1室0厅1卫-30.0㎡ ,2000,http://www.mgzf.com/room/15115309.shtml?page=list&sourceType=2
静安区-蚂蚁公舍（中山北路店）,"交通购物超便利, 治安良好, 舍友素质高",距1号线中山北路383米,1室1厅1卫-25.0㎡ 下层外窗,3580,http://www.mgzf.com/room/636489.shtml?page=list&sourceType=2
浦东新区-友家社区联盟（大同路店）,"地处中心地段, 性价比高, 配备宽带",位于 高行 附近,1室0厅1卫-26.0㎡ 复式房型二,1200,http://www.mgzf.com/room/2587165.shtml?page=list&sourceType=2
浦东新区-鹤兴苑,距离川沙地铁5分钟步行 周边实施齐全 民用水电 燃气做饭,距2号线东延伸段川沙1011米,4室1厅2卫-130.0㎡ ,6000,http://www.mgzf.com/room/15295261.shtml?page=list&sourceType=2
浦东新区-浦发绿城850弄,"交通便利, 可随时看房, 拎包入住",距11号线浦三路507米,2室2厅1卫-80.0㎡ ,4800,http://www.mgzf.com/room/15208342.shtml?page=list&sourceType=2
宝山区-友家公寓（淞发路50号）,"地处中心地段, 治安良好, 配备宽带",距3号线淞发路290米,1室1厅1卫-22.0㎡ 1880房,1880,http://www.mgzf.com/room/519637.shtml?page=list&sourceType=2
浦东新区-上南九村,成山路地铁1号口步行300多米整租两房朝正东朝正南带阳台,距8号线成山路180米,2室1厅1卫-50.0㎡ ,4500,http://www.mgzf.com/room/15287299.shtml?page=list&sourceType=2
浦东新区-上南二村,"地理位置优越, 地铁房, 精装修房",距7号线耀华路297米,1室2厅1卫-49.0㎡ ,3600,http://www.mgzf.com/room/15283927.shtml?page=list&sourceType=2
宝山区-友家公寓（淞发路50号）,"交通购物超便利, 视野开阔, 拎包入住",距3号线淞发路290米,1室1厅1卫-18.0㎡ 1580房,1680,http://www.mgzf.com/room/519626.shtml?page=list&sourceType=2
浦东新区-幸福里,免中介费，近，王港卡园，王港菜市场 恒生商业广场卡园金融中心,位于 唐镇 附近,三居室-南卧-25.0㎡,1500,http://www.mgzf.com/room/15449611.shtml?page=list&sourceType=2
杨浦区-湾流国际青年社区（隆昌路店）,"地处繁华商圈, 视野开阔, 家具齐全",距12号线隆昌路538米,1室0厅1卫-30.0㎡ 原生裸心风中庭C,4900,http://www.mgzf.com/room/8146116.shtml?page=list&sourceType=2
闵行区-华侨城八期,"周边设施齐全, 中高楼层, 房间朝向好",距8号线浦江镇937米,1室0厅1卫-40.0㎡ ,1000,http://www.mgzf.com/room/15218227.shtml?page=list&sourceType=2
松江区-凯富人才公寓,【公司直租 无中价费】整租 全新精装公寓 拎包入住 独立卫浴,位于 松江科技园 附近,1室0厅1卫-15.0㎡ 朝东大床房A,1300,http://www.mgzf.com/room/11022449.shtml?page=list&sourceType=2
杨浦区-湾流国际青年社区（隆昌路店）,"交通便捷, 可随时看房, 配备宽带",距12号线隆昌路538米,1室1厅1卫-30.0㎡ 原生裸心风中庭大,4400,http://www.mgzf.com/room/8146206.shtml?page=list&sourceType=2
浦东新区-川杨新苑(二期),付一押一 可包水网费 独立厨卫 非合租 近张江高科软件园旁！,距13号线张江路333米,1室1厅1卫-32.0㎡ ,1600,http://www.mgzf.com/room/15449533.shtml?page=list&sourceType=2
宝山区-友家联盟社区（水产路店）,"地铁沿线, 安静宜居, 配备宽带",距3号线水产路482米,1室0厅1卫-21.0㎡ 2180房型,2180,http://www.mgzf.com/room/10766969.shtml?page=list&sourceType=2
浦东新区-川杨新苑南区,朝南一居室 独立厨卫 非合租 精装全配 近张江高科及长泰广场,距13号线张江路175米,三居室-南卧-22.0㎡,1100,http://www.mgzf.com/room/15405187.shtml?page=list&sourceType=2
徐汇区-梵高馆,全屋地暖，4房2厅3卫。,距9号线嘉善路370米,4室2厅3卫-230.0㎡ ,45000,http://www.mgzf.com/room/15294508.shtml?page=list&sourceType=2
杨浦区-湾流国际青年社区（隆昌路店）,"交通便捷, 高档品质小区, 房间朝向好",距12号线隆昌路538米,1室1厅1卫-28.0㎡ 瑞典简约风中庭,4200,http://www.mgzf.com/room/8146158.shtml?page=list&sourceType=2
浦东新区-东方康达二期,"社区配套成熟, 黄金楼层, 配备宽带",位于 三林 附近,1室0厅1卫-30.0㎡ ,1610,http://www.mgzf.com/room/15204382.shtml?page=list&sourceType=2
黄浦区-兴安里,"地理位置优越, 安静宜居, 房间干净整洁",位于 新天地 附近,2室2厅1卫-98.0㎡ ,6100,http://www.mgzf.com/room/15223015.shtml?page=list&sourceType=2
静安区-友家公寓中山北路店,"社区配套成熟, 性价比高, 房间干净整洁",距1号线中山北路826米,1室0厅1卫-14.0㎡ 标间2,2100,http://www.mgzf.com/room/5970853.shtml?page=list&sourceType=2
浦东新区-玉兰香苑三期,"地处繁华商圈, 安静宜居, 舍友素质高",距13号线张江路997米,四居室-南卧-18.0㎡,2300,http://www.mgzf.com/room/15204982.shtml?page=list&sourceType=2
浦东新区-玉兰香苑三期,"交通便捷, 黄金楼层, 房间朝向好",距13号线张江路997米,四居室-南卧-23.0㎡,2600,http://www.mgzf.com/room/15204976.shtml?page=list&sourceType=2
浦东新区-德州一村,成山路3号口长清路7号口整租一房民用水电天然气二楼居住证可办,距8号线成山路242米,1室1厅1卫-40.0㎡ ,3600,http://www.mgzf.com/room/15287023.shtml?page=list&sourceType=2
闵行区-柚米国际社区七莘路,"短租一个月 交通便利, 绿化覆盖率高, 配备宽带",距12号线七莘路533米,1室1厅1卫-28.0㎡ 单间H,3200,http://www.mgzf.com/room/14015071.shtml?page=list&sourceType=2
黄浦区-怀德里,"社区配套成熟, 视野开阔, 电梯房",位于 人民广场 附近,1室0厅1卫-23.0㎡ ,2600,http://www.mgzf.com/room/15225628.shtml?page=list&sourceType=2
浦东新区-博学家园1899弄,"地理位置优越, 视野开阔, 独立卫浴",距6号线高青路440米,1室0厅1卫-26.0㎡ ,1860,http://www.mgzf.com/room/15220525.shtml?page=list&sourceType=2
嘉定区-爱德佳苑15号,"社区配套成熟, 性价比高, 电梯房",位于 江桥 附近,1室0厅1卫-17.0㎡ 爱德佳苑精装独卫,1700,http://www.mgzf.com/room/6289411.shtml?page=list&sourceType=2
浦东新区-东方康达家苑(二期),"交通购物超便利, 绿化覆盖率高, 舍友素质高",距8号线芦恒路828米,1室0厅1卫-30.0㎡ ,1600,http://www.mgzf.com/room/15252463.shtml?page=list&sourceType=2
杨浦区-湾流国际青年社区（隆昌路店）,"房间照片实拍, 绿化覆盖率高, 舍友素质高",距12号线隆昌路538米,1室1厅1卫-32.0㎡ 原生裸心风南,4300,http://www.mgzf.com/room/8148288.shtml?page=list&sourceType=2
松江区-东明花苑,"周边设施齐全, 性价比高, 配备宽带",距9号线松江新城414米,五居室-南卧-17.0㎡,2050,http://www.mgzf.com/room/503130.shtml?page=list&sourceType=2
闵行区-浦恒馨苑2161弄,网红租房，会员终身免佣金。,距8号线芦恒路1352米,1室0厅1卫-18.0㎡ ,1900,http://www.mgzf.com/room/15149149.shtml?page=list&sourceType=2
浦东新区-川杨新苑(六期),近汇智 长泰广场 近张江高科软件园旁及张江药谷 独立厨卫,距13号线张江路37米,三居室-南卧-25.0㎡,1600,http://www.mgzf.com/room/15449566.shtml?page=list&sourceType=2
浦东新区-休思公寓.,8号线杨思站 精装1室户 带独卫可做饭 地铁站步行5分钟 ,距8号线杨思177米,1室0厅1卫-35.0㎡ 户型B,3300,http://www.mgzf.com/room/15137296.shtml?page=list&sourceType=2
浦东新区-幸福里,免中介费，近，王港卡园，王港菜市场 恒生商业广场卡园金融中心,位于 唐镇 附近,三居室-南卧-22.0㎡,1350,http://www.mgzf.com/room/15449614.shtml?page=list&sourceType=2
浦东新区-东方康达家苑二期,"地处繁华商圈, 绿化覆盖率高, 房间朝向好",距8号线芦恒路715米,1室1厅1卫-50.0㎡ ,2500,http://www.mgzf.com/room/15181708.shtml?page=list&sourceType=2
静安区-简约小家,"交通便利, 中高楼层, 配备宽带",距3号线东宝兴路488米,1室1厅1卫-30.0㎡ 简约小家公寓,3780,http://www.mgzf.com/room/632706.shtml?page=list&sourceType=2
静安区-蚂蚁公舍（中山北路店）,"地处中心地段, 高档品质小区, 拎包入住",距1号线中山北路383米,1室1厅1卫-20.0㎡ 平层带内窗,3000,http://www.mgzf.com/room/636377.shtml?page=list&sourceType=2
