标题,详细,地址,房型,价格,链接
闵行区-旭辉浦江国际,( 网 红 租 房 ) 会 员 终 生 免 拥,距8号线联航路581米,1室0厅1卫-55.0㎡ ,1500,http://www.mgzf.com/room/15197740.shtml?page=list&sourceType=2
浦东新区-德祥苑,"社区配套成熟, 中高楼层, 采光充足",距13号线陈春路290米,二居室-南卧-19.0㎡,2000,http://www.mgzf.com/room/15198199.shtml?page=list&sourceType=2
浦东新区-东方康德家园105弄,"社区配套成熟, 治安良好, 拎包入住",距11号线三林835米,3室1厅1卫-102.0㎡ ,5150,http://www.mgzf.com/room/15231886.shtml?page=list&sourceType=2
浦东新区-华夏小区,杨思站1号口整租一房独门独户有小厅民用水电步梯三楼华夏小区,距8号线杨思259米,1室1厅1卫-40.0㎡ ,3000,http://www.mgzf.com/room/15286969.shtml?page=list&sourceType=2
浦东新区-三林新村468弄,"交通便利, 绿化覆盖率高, 房间干净整洁",距11号线三林1132米,1室0厅1卫-30.0㎡ ,1600,http://www.mgzf.com/room/15286198.shtml?page=list&sourceType=2
浦东新区-三林新村468弄,"社区配套成熟, 视野开阔, 精装修房",距11号线三林1132米,2室1厅1卫-77.0㎡ ,6300,http://www.mgzf.com/room/15284494.shtml?page=list&sourceType=2
松江区-丽景苑,"房间照片实拍, 视野开阔, 配备宽带",距9号线九亭447米,五居室-南卧-30.0㎡,1750,http://www.mgzf.com/room/2332006.shtml?page=list&sourceType=2
浦东新区-三林新村133弄,"地处繁华商圈, 治安良好, 配备宽带",距11号线三林886米,2室1厅1卫-78.0㎡ ,5500,http://www.mgzf.com/room/15284455.shtml?page=list&sourceType=2
浦东新区-金谊河畔,"地处中心地段, 视野开阔, 房间朝向好",距11号线三林505米,三居室-南卧-30.0㎡,3600,http://www.mgzf.com/room/15208525.shtml?page=list&sourceType=2
奉贤区-友家公寓联盟南桥店,"地处中心地段, 安静宜居, 配备宽带",距5号线环城东路796米,1室1厅1卫-30.0㎡ 标房,1300,http://www.mgzf.com/room/3145975.shtml?page=list&sourceType=2
浦东新区-招远小区,陆家嘴品牌公寓 招远小区 精装一室一厅 地铁2号线,距2号线东昌路323米,1室1厅1卫-40.0㎡ ,6188,http://www.mgzf.com/room/15212230.shtml?page=list&sourceType=2
浦东新区-博爱家园,"房间照片实拍, 黄金楼层, 家具齐全",距6号线高科西路193米,1室0厅1卫-25.0㎡ ,1600,http://www.mgzf.com/room/15184705.shtml?page=list&sourceType=2
浦东新区-新世纪花苑一期,"地处中心地段, 视野开阔, 家具齐全",距7号线长清路113米,二居室-南卧-30.0㎡,2200,http://www.mgzf.com/room/15229153.shtml?page=list&sourceType=2
浦东新区-川杨新苑四期,近13号线 绿地 百度 软件园 精装全配 欧式家具 看好即住,距13号线张江路820米,三居室-南卧-25.0㎡,1100,http://www.mgzf.com/room/15201988.shtml?page=list&sourceType=2
浦东新区-齐友佳苑,"交通便利, 可随时看房, 家具齐全",距2号线东延伸段创新中路939米,四居室-南卧-18.0㎡,1900,http://www.mgzf.com/room/15230182.shtml?page=list&sourceType=2
浦东新区-绿波城,房东直租：可办居住证、落户（网签租赁备案） 整租两房近地铁,距2号线东延伸段创新中路880米,2室1厅1卫-75.0㎡ ,5600,http://www.mgzf.com/room/15094978.shtml?page=list&sourceType=2
浦东新区-东方康德家园971弄,（ 微 租 公 寓 ）会 员 终 生 免 佣,距8号线芦恒路1741米,1室0厅1卫-18.0㎡ ,1800,http://www.mgzf.com/room/15219946.shtml?page=list&sourceType=2
浦东新区-盛世南苑,房屋出租，喜欢，加微信Msj4948,距8号线芦恒路408米,1室0厅1卫-28.0㎡ ,1680,http://www.mgzf.com/room/15187570.shtml?page=list&sourceType=2
浦东新区-博学家园,(微租公寓)会员终生免佣,距6号线高青路412米,1室0厅1卫-20.0㎡ ,1950,http://www.mgzf.com/room/15149446.shtml?page=list&sourceType=2
浦东新区-申城佳苑三期A块,"房间照片实拍, 性价比高, 电梯房",距13号线张江路1271米,四居室-南卧-18.0㎡,1900,http://www.mgzf.com/room/15250888.shtml?page=list&sourceType=2
浦东新区-幸福里,免中介费，近，王港卡园，王港菜市场 恒生商业广场卡园金融中心,位于 唐镇 附近,三居室-南卧-28.0㎡,1450,http://www.mgzf.com/room/15449617.shtml?page=list&sourceType=2
浦东新区-博爱家园,"地处中心地段, 视野开阔, 房间朝向好",距6号线高科西路193米,二居室-南卧-33.0㎡,2200,http://www.mgzf.com/room/15229312.shtml?page=list&sourceType=2
闵行区-华侨城六期,( 网 红 租 房 ) 会 员 终 生 免 拥,距8号线浦江镇261米,1室0厅1卫-48.0㎡ ,1600,http://www.mgzf.com/room/15142957.shtml?page=list&sourceType=2
松江区-摩卡小城,只要你需要，风里雨里我在这儿等你，申家给你安心舒心放心的小,距9号线九亭1275米,四居室-南卧-23.0㎡,1900,http://www.mgzf.com/room/11115383.shtml?page=list&sourceType=2
浦东新区-齐友佳苑,二号线唐镇站，齐友佳苑精装三房，可做员工宿舍，无中介费,距2号线东延伸段创新中路939米,3室1厅1卫-82.0㎡ ,4700,http://www.mgzf.com/room/15055858.shtml?page=list&sourceType=2
浦东新区-金唐公寓,"地处中心地段, 中高楼层, 配备宽带",位于 唐镇 附近,3室1厅1卫-88.0㎡ ,5600,http://www.mgzf.com/room/15054670.shtml?page=list&sourceType=2
静安区-简约小家,"交通购物超便利, 高档品质小区, 独立卫浴",距3号线东宝兴路488米,1室1厅1卫-22.0㎡ 青年系列,2580,http://www.mgzf.com/room/632639.shtml?page=list&sourceType=2
浦东新区-博爱家园,6号线7号线高科西路站，交通便利，小区绿化好，欢迎随时看房,距6号线高科西路193米,1室0厅1卫-30.0㎡ ,2200,http://www.mgzf.com/room/15306733.shtml?page=list&sourceType=2
浦东新区-东方康达二期,"地处中心地段, 安静宜居, 拎包入住",位于 三林 附近,1室0厅1卫-27.0㎡ ,1520,http://www.mgzf.com/room/15306712.shtml?page=list&sourceType=2
浦东新区-金谊河畔,"交通购物超便利, 安静宜居, 房间干净整洁",距11号线三林505米,2室2厅1卫-107.0㎡ ,6000,http://www.mgzf.com/room/15305755.shtml?page=list&sourceType=2
浦东新区-三杨新村一街坊,"地铁沿线, 可随时看房, 拎包入住",距8号线杨思772米,1室1厅1卫-15.0㎡ ,1600,http://www.mgzf.com/room/15033682.shtml?page=list&sourceType=2
浦东新区-金谊河畔,"地处中心地段, 性价比高, 采光充足",距11号线三林505米,三居室-南卧-28.0㎡,3500,http://www.mgzf.com/room/15208528.shtml?page=list&sourceType=2
浦东新区-东方康达家苑二期,（微租公寓）会员终身免佣   ,距8号线芦恒路715米,1室0厅1卫-18.0㎡ ,1700,http://www.mgzf.com/room/15208453.shtml?page=list&sourceType=2
浦东新区-万嘉欣苑,"地理位置优越, 中高楼层, 采光充足",位于 唐镇 附近,2室1厅1卫-65.0㎡ ,3800,http://www.mgzf.com/room/15213391.shtml?page=list&sourceType=2
浦东新区-岭南苑,"地处中心地段, 物业管理严格, 房间干净整洁",距8号线凌兆新村237米,1室0厅1卫-23.0㎡ ,1900,http://www.mgzf.com/room/15295696.shtml?page=list&sourceType=2
徐汇区-Nex Home轻奢公寓,这个城市，属于你的故事和家,距10号线宋园路1267米,1室0厅1卫-20.0㎡ C,4100,http://www.mgzf.com/room/61555.shtml?page=list&sourceType=2
浦东新区-上钢五村,"社区配套成熟, 绿化覆盖率高, 家具齐全",距13号线长清路133米,三居室-南卧-18.0㎡,2000,http://www.mgzf.com/room/15228319.shtml?page=list&sourceType=2
闵行区-舒适复试一居室,"房间照片实拍, 可随时看房, 房间朝向好",距12号线七莘路629米,1室1厅1卫-32.0㎡ 迎接朝阳,2784,http://www.mgzf.com/room/14604220.shtml?page=list&sourceType=2
浦东新区-东方康达家苑二期,"地铁沿线, 可随时看房, 电梯房",距8号线芦恒路715米,1室0厅0卫-30.0㎡ ,1760,http://www.mgzf.com/room/15178024.shtml?page=list&sourceType=2
浦东新区-莲杨苑,非常干净漂亮的房子，实际房子比图片好看！！！,距13号线陈春路437米,4室1厅2卫-126.0㎡ ,10500,http://www.mgzf.com/room/15489508.shtml?page=list&sourceType=2
浦东新区-绿波城,"地铁沿线, 物业管理严格, 家具齐全",距2号线东延伸段创新中路880米,四居室-南卧-25.0㎡,2600,http://www.mgzf.com/room/15230155.shtml?page=list&sourceType=2
浦东新区-三林新村136弄,"地理位置优越, 物业管理严格, 房间朝向好",距11号线三林1291米,1室0厅1卫-18.0㎡ ,1500,http://www.mgzf.com/room/15296842.shtml?page=list&sourceType=2
闵行区-浦江世博家园四街坊,蘑菇一点通，租房好轻松,距8号线江月路582米,2室1厅1卫-88.0㎡ ,3900,http://www.mgzf.com/room/15488794.shtml?page=list&sourceType=2
闵行区-浦江世博家园四街坊,蘑菇一点通，租房好轻松,距8号线江月路582米,1室1厅1卫-55.0㎡ ,2900,http://www.mgzf.com/room/15488776.shtml?page=list&sourceType=2
闵行区-浦江世博家园四街坊,蘑菇一点通，租房好轻松,距8号线江月路582米,1室1厅1卫-55.0㎡ ,2800,http://www.mgzf.com/room/15488773.shtml?page=list&sourceType=2
闵行区-浦江世博家园四街坊,蘑菇一点通，租房好轻松,距8号线江月路582米,1室1厅1卫-55.0㎡ ,3100,http://www.mgzf.com/room/15488782.shtml?page=list&sourceType=2
闵行区-世博家园二街坊,"地处繁华商圈, 视野开阔, 房间干净整洁",距8号线江月路817米,2室1厅1卫-65.0㎡ ,3380,http://www.mgzf.com/room/15488806.shtml?page=list&sourceType=2
闵行区-浦江世博家园四街坊,蘑菇一点通，租房好轻松,距8号线江月路582米,2室1厅1卫-88.0㎡ ,4100,http://www.mgzf.com/room/15488791.shtml?page=list&sourceType=2
闵行区-浦江世博家园四街坊,蘑菇一点通，租房好轻松,距8号线江月路582米,1室1厅1卫-55.0㎡ ,3000,http://www.mgzf.com/room/15488779.shtml?page=list&sourceType=2
闵行区-浦江世博家园四街坊,蘑菇一点通，租房好轻松,距8号线江月路582米,1室1厅1卫-55.0㎡ ,2700,http://www.mgzf.com/room/15488770.shtml?page=list&sourceType=2
闵行区-世博家园四街坊,"社区配套成熟, 可随时看房, 精装修房",位于 浦江镇 附近,2室1厅1卫-56.0㎡ ,3560,http://www.mgzf.com/room/15488920.shtml?page=list&sourceType=2
闵行区-世博家园二街坊,"交通便捷, 黄金楼层, 电梯房",距8号线江月路817米,1室1厅1卫-36.0㎡ ,3000,http://www.mgzf.com/room/15488809.shtml?page=list&sourceType=2
浦东新区-城林雅苑,网红租房，会员终身免佣金。,距8号线芦恒路1379米,3室1厅1卫-78.0㎡ ,4380,http://www.mgzf.com/room/15488683.shtml?page=list&sourceType=2
闵行区-浦江世博家园四街坊,蘑菇一点通，租房好轻松,距8号线江月路582米,1室1厅1卫-55.0㎡ ,4500,http://www.mgzf.com/room/15488785.shtml?page=list&sourceType=2
浦东新区-绿波城,房东直租：可办居住证、落户（网签租赁备案） 整租两房近地铁,距2号线东延伸段创新中路880米,2室1厅1卫-75.0㎡ ,6800,http://www.mgzf.com/room/15094990.shtml?page=list&sourceType=2
浦东新区-盛世南苑,"交通便捷, 高档品质小区, 采光充足",距8号线芦恒路408米,2室1厅1卫-68.0㎡ ,4800,http://www.mgzf.com/room/15488482.shtml?page=list&sourceType=2
浦东新区-盛世南苑,"地处繁华商圈, 治安良好, 房间朝向好",距8号线芦恒路408米,3室1厅1卫-89.0㎡ ,6300,http://www.mgzf.com/room/15488485.shtml?page=list&sourceType=2
浦东新区-城林雅苑,（ 微 租 公 寓 ）会 员 终 生 免 佣,距8号线芦恒路1379米,3室1厅1卫-78.0㎡ ,5000,http://www.mgzf.com/room/15232423.shtml?page=list&sourceType=2
浦东新区-盛世南苑,"地铁沿线, 视野开阔, 舍友素质高",距8号线芦恒路408米,1室0厅1卫-26.0㎡ ,1500,http://www.mgzf.com/room/15488491.shtml?page=list&sourceType=2
浦东新区-东方康达家苑二期,靠近芦恒路8号地铁站 ,距8号线芦恒路715米,二居室-南卧-20.0㎡,2000,http://www.mgzf.com/room/15187450.shtml?page=list&sourceType=2
浦东新区-东方康德家园971弄,网红租房，会员终身免佣金,距8号线芦恒路1741米,3室1厅1卫-96.0㎡ ,5000,http://www.mgzf.com/room/15487963.shtml?page=list&sourceType=2
浦东新区-万嘉欣苑,"地理位置优越, 中高楼层, 采光充足",位于 唐镇 附近,1室1厅1卫-60.0㎡ ,3500,http://www.mgzf.com/room/15213385.shtml?page=list&sourceType=2
浦东新区-古银杏苑,"房间照片实拍, 可随时看房, 电梯房",距11号线三林东701米,2室2厅1卫-85.0㎡ ,5200,http://www.mgzf.com/room/15185881.shtml?page=list&sourceType=2
松江区-九城湖滨,"房间照片实拍, 物业管理严格, 房间干净整洁",距9号线九亭1339米,四居室-南卧-16.0㎡,2050,http://www.mgzf.com/room/497961.shtml?page=list&sourceType=2
浦东新区-瀚锦苑,"地理位置优越, 视野开阔, 舍友素质高",距6号线华夏西路318米,1室1厅1卫-62.0㎡ ,4000,http://www.mgzf.com/room/15004447.shtml?page=list&sourceType=2
浦东新区-龙博公寓,13号线地铁零距离，地铁出行5分钟，可直达南京西路,距13号线北蔡272米,四居室-南卧-24.0㎡,2600,http://www.mgzf.com/room/15229612.shtml?page=list&sourceType=2
浦东新区-川杨新苑南区,"交通购物超便利, 视野开阔, 电梯房,步行地铁站300米",距13号线张江路175米,四居室-南卧-18.0㎡,2000,http://www.mgzf.com/room/15250885.shtml?page=list&sourceType=2
浦东新区-艾南花苑,7号线地铁零距离，上班出行5分钟到地铁站,距7号线杨高南路391米,四居室-南卧-24.0㎡,2450,http://www.mgzf.com/room/15229654.shtml?page=list&sourceType=2
闵行区-浦江世博家园四街坊,8号线 江月路地铁200米 生活广场里面 精装整一室一厅一卫,距8号线江月路582米,1室1厅1卫-46.0㎡ ,2700,http://www.mgzf.com/room/15483160.shtml?page=list&sourceType=2
浦东新区-唐丰苑,房东直租，无中介费，无服务费，原始户型，百套房可选，张江唐镇,位于 唐镇 附近,1室1厅1卫-58.0㎡ ,3900,http://www.mgzf.com/room/15141709.shtml?page=list&sourceType=2
浦东新区-瑞寓公寓C幢,"地铁沿线, 治安良好, 电梯房",位于 川沙 附近,1室0厅1卫-20.0㎡ 瑞寓公寓C幢,1700,http://www.mgzf.com/room/2182162.shtml?page=list&sourceType=2
浦东新区-东方悦居苑,蘑菇一点通，租房好轻松,距8号线成山路1011米,2室1厅1卫-55.0㎡ ,3800,http://www.mgzf.com/room/15476149.shtml?page=list&sourceType=2
徐汇区-柚米国际社区（徐汇滨江店）,"地理位置优越, 性价比高, 独立卫浴",距4号线大木桥路674米,1室1厅1卫-25.0㎡ 小单间,4200,http://www.mgzf.com/room/13964623.shtml?page=list&sourceType=2
浦东新区-上南九村,成山路地铁站1号口近地铁古典一房民用水电天然气厨房真实房源,距8号线成山路180米,1室1厅1卫-38.0㎡ ,3999,http://www.mgzf.com/room/15287128.shtml?page=list&sourceType=2
浦东新区-东方悦居,"地处中心地段, 中高楼层, 拎包入住",距6号线东明路912米,2室1厅1卫-70.0㎡ ,3800,http://www.mgzf.com/room/15286288.shtml?page=list&sourceType=2
浦东新区-上钢六村,黄金三楼民用水电三百米地铁口随时看房一房两厅零甲醛,距13号线长清路233米,1室1厅1卫-40.0㎡ ,4000,http://www.mgzf.com/room/15474937.shtml?page=list&sourceType=2
浦东新区-三林新村468弄,"交通便利, 中高楼层, 配备宽带",距11号线三林1132米,1室0厅1卫-30.0㎡ ,1600,http://www.mgzf.com/room/15286147.shtml?page=list&sourceType=2
浦东新区-三林新村468弄,"周边设施齐全, 高档品质小区, 家具齐全",距11号线三林1132米,2室1厅1卫-29.0㎡ ,4000,http://www.mgzf.com/room/15286252.shtml?page=list&sourceType=2
浦东新区-湾流域城(金地湾流域一期),真正的拎包入住，洒脱无比,距6号线华夏西路426米,2室1厅1卫-93.0㎡ ,6800,http://www.mgzf.com/room/15284656.shtml?page=list&sourceType=2
浦东新区-南杨小区643弄,Octopus Apartment 距离8号线杨思地铁站零距,距8号线杨思295米,2室1厅1卫-48.0㎡ ,5500,http://www.mgzf.com/room/15472624.shtml?page=list&sourceType=2
浦东新区-锦翠苑,"地理位置优越, 治安良好, 采光充足",距6号线灵岩南路186米,3室1厅1卫-98.0㎡ ,6800,http://www.mgzf.com/room/15472126.shtml?page=list&sourceType=2
浦东新区-三林新村258弄,"地理位置优越, 中高楼层, 拎包入住",距11号线三林764米,1室1厅1卫-35.0㎡ ,2200,http://www.mgzf.com/room/15070615.shtml?page=list&sourceType=2
浦东新区-东方悦居,（ 微 租 公 寓 ）会 员 终 生 免 佣,距6号线东明路912米,1室0厅1卫-20.0㎡ ,1700,http://www.mgzf.com/room/15191467.shtml?page=list&sourceType=2
浦东新区-周浦万达广场,"地理位置优越, 黄金楼层, 独立卫浴",位于 周浦 附近,1室1厅1卫-45.0㎡ ,2850,http://www.mgzf.com/room/15472708.shtml?page=list&sourceType=2
浦东新区-日月新苑,"房间照片实拍, 视野开阔, 拎包入住",距6号线上南路161米,3室2厅1卫-98.0㎡ ,7200,http://www.mgzf.com/room/15471940.shtml?page=list&sourceType=2
闵行区-浦恒馨苑2161弄,网红租房，会员终身免佣金,距8号线芦恒路1352米,1室1厅1卫-16.0㎡ ,1650,http://www.mgzf.com/room/15149509.shtml?page=list&sourceType=2
浦东新区-建业新村,"交通购物超便利, 治安良好, 精装修房",距7号线杨高南路433米,3室1厅1卫-102.0㎡ ,7200,http://www.mgzf.com/room/15472396.shtml?page=list&sourceType=2
闵行区-浦恒馨苑,"地处中心地段, 中高楼层, 采光充足",位于 浦江镇 附近,1室0厅1卫-28.0㎡ ,1500,http://www.mgzf.com/room/15280492.shtml?page=list&sourceType=2
浦东新区-日月新苑,"社区配套成熟, 中高楼层, 房间干净整洁",距6号线上南路161米,2室2厅1卫-100.0㎡ ,6500,http://www.mgzf.com/room/15471910.shtml?page=list&sourceType=2
浦东新区-上南花苑三期（257弄）,"房间照片实拍, 性价比高, 房间朝向好",距7号线云台路365米,2室2厅2卫-105.0㎡ ,6800,http://www.mgzf.com/room/15471970.shtml?page=list&sourceType=2
浦东新区-小布丁公寓,"交通便捷, 可随时看房, 采光充足",距11号线御桥1157米,1室1厅1卫-20.0㎡ 平层,1500,http://www.mgzf.com/room/15326227.shtml?page=list&sourceType=2
宝山区-友家联盟社区（水产路店）,"地铁沿线, 安静宜居, 配备宽带",距3号线水产路482米,1室0厅1卫-22.0㎡ 2280房型,2280,http://www.mgzf.com/room/10767014.shtml?page=list&sourceType=2
浦东新区-东方悦居1121,"周边设施齐全, 绿化覆盖率高, 房间干净整洁",距6号线东明路912米,1室0厅1卫-22.0㎡ ,2200,http://www.mgzf.com/room/15121756.shtml?page=list&sourceType=2
浦东新区-东旭雅苑,近 五角场 杨浦6/12号线地铁 东旭雅苑三室一厅精装全配,距6号线东靖路1033米,3室1厅1卫-90.0㎡ ,5100,http://www.mgzf.com/room/15069637.shtml?page=list&sourceType=2
杨浦区-湾流国际青年社区（隆昌路店）,"房间照片实拍, 可随时看房, 采光充足",距12号线隆昌路538米,1室1厅1卫-27.0㎡ 原生裸心风中庭,4450,http://www.mgzf.com/room/8146119.shtml?page=list&sourceType=2
松江区-凯富人才公寓,"地处繁华商圈, 绿化覆盖率高, 房间干净整洁",位于 松江科技园 附近,1室0厅1卫-15.0㎡ 超大私密空间独卫,1000,http://www.mgzf.com/room/11006075.shtml?page=list&sourceType=2
浦东新区-潍坊四村,(微租公寓)会员终身免佣,距6号线浦电路499米,2室1厅1卫-70.0㎡ ,4500,http://www.mgzf.com/room/15320800.shtml?page=list&sourceType=2
浦东新区-东方康德家园105弄,"交通购物超便利, 高档品质小区, 采光充足",距11号线三林835米,1室0厅1卫-30.0㎡ ,1535,http://www.mgzf.com/room/15142645.shtml?page=list&sourceType=2
浦东新区-东方康达家苑二期,"周边设施齐全, 安静宜居, 拎包入住",距8号线芦恒路715米,2室1厅1卫-76.0㎡ ,5500,http://www.mgzf.com/room/15130348.shtml?page=list&sourceType=2
浦东新区-由由七村,精装次卧带独卫，拎包入住，押一付一,距7号线杨高南路228米,二居室-南卧-24.0㎡,1500,http://www.mgzf.com/room/15219943.shtml?page=list&sourceType=2
浦东新区-唐丰苑,"交通便捷, 安静宜居, 拎包入住",位于 唐镇 附近,1室1厅1卫-60.0㎡ ,3900,http://www.mgzf.com/room/15254782.shtml?page=list&sourceType=2
浦东新区-上钢一村,Octopus Apartment 成山路 长青路地铁站 ,距8号线成山路308米,2室1厅1卫-48.0㎡ ,5800,http://www.mgzf.com/room/15467650.shtml?page=list&sourceType=2
闵行区-一品漫城一期,"地理位置优越, 高档品质小区, 精装修房",距8号线芦恒路15米,1室0厅1卫-28.0㎡ ,1650,http://www.mgzf.com/room/15467278.shtml?page=list&sourceType=2
浦东新区-高申北苑,近 五角场 杨浦612号线地铁高申北苑朝南主卧带阳台精装全配,距6号线五洲大道902米,四居室-南卧-25.0㎡,2000,http://www.mgzf.com/room/15169903.shtml?page=list&sourceType=2
松江区-上海市松江区源花城,离地铁口近，房屋及周边设备齐全，民用水电，有管家服务,距9号线九亭1492米,四居室-东南卧-17.0㎡,2100,http://www.mgzf.com/room/8961233.shtml?page=list&sourceType=2
浦东新区-世华锦城,"交通便利, 高档品质小区, 房间朝向好",距8号线杨思601米,3室1厅1卫-92.0㎡ ,8600,http://www.mgzf.com/room/15187177.shtml?page=list&sourceType=2
浦东新区-上南四村,"地处繁华商圈, 绿化覆盖率高, 家具齐全",距8号线成山路204米,1室1厅1卫-56.0㎡ ,4800,http://www.mgzf.com/room/15467101.shtml?page=list&sourceType=2
浦东新区-齐友佳苑,二号线创新中路站，齐友佳苑精装朝南主卧带阳台，无中介费随时看,距2号线东延伸段创新中路939米,四居室-南卧-25.0㎡,1900,http://www.mgzf.com/room/15252310.shtml?page=list&sourceType=2
浦东新区-唐丰苑,二号线唐镇站，唐丰苑精装整租三房，无中介费，可付一押一,位于 唐镇 附近,3室1厅1卫-78.0㎡ ,5300,http://www.mgzf.com/room/15059443.shtml?page=list&sourceType=2
浦东新区-齐友佳苑,二号线创新中路站，齐友佳苑精装朝南主卧带独卫，无中介费随时看,距2号线东延伸段创新中路939米,四居室-南卧-25.0㎡,2300,http://www.mgzf.com/room/15252307.shtml?page=list&sourceType=2
浦东新区-南杨小区643弄,杨思站2号口斜对面两房民用水电天然气制热价格便宜看房随时真实,距8号线杨思295米,2室1厅1卫-56.0㎡ ,4500,http://www.mgzf.com/room/15465751.shtml?page=list&sourceType=2
浦东新区-上钢四村,黄金三楼整租一房民用水电精装修价格不贵耀华路3号口5分钟,距13号线长清路321米,1室1厅1卫-38.0㎡ ,3700,http://www.mgzf.com/room/15465043.shtml?page=list&sourceType=2
浦东新区-上钢二村,精装修一房民用水电天然气制热耀华路3号口3分钟采光好朝向北侧,距7号线耀华路268米,1室0厅1卫-30.0㎡ ,3500,http://www.mgzf.com/room/15465562.shtml?page=list&sourceType=2
浦东新区-岭南苑（凌兆路127弄）,"地铁沿线, 高档品质小区, 电梯房",距8号线凌兆新村0米,3室1厅1卫-93.0㎡ ,4100,http://www.mgzf.com/room/15466102.shtml?page=list&sourceType=2
浦东新区-思浦小区（灵岩南路156弄）,杨思站2号口对面整租一房民用水电步梯黄金三楼天然气精装厨房南,距8号线杨思215米,1室1厅1卫-40.0㎡ ,3700,http://www.mgzf.com/room/15465214.shtml?page=list&sourceType=2
闵行区-滨浦新苑二村,8号线  联航路地铁附近 精装两室一厅 电梯高层采光好随时看,距8号线沈杜公路797米,2室2厅1卫-89.0㎡ ,3100,http://www.mgzf.com/room/15465811.shtml?page=list&sourceType=2
浦东新区-上南一村,耀华路2号口3分钟整租一房两厅民用水电古朴精装风马到成功,距7号线耀华路270米,1室2厅1卫-42.0㎡ ,4200,http://www.mgzf.com/room/15464818.shtml?page=list&sourceType=2
浦东新区-上钢二村,三楼整租一房民用水电租客20号搬走昌里路边耀华路3号口5分钟,距7号线耀华路268米,1室1厅1卫-38.0㎡ ,3700,http://www.mgzf.com/room/15465034.shtml?page=list&sourceType=2
浦东新区-瀚盛家园,"交通便捷, 安静宜居, 家具齐全",位于 唐镇 附近,三居室-南卧-20.0㎡,2000,http://www.mgzf.com/room/15146446.shtml?page=list&sourceType=2
松江区-九城湖滨国际,"地理位置优越, 黄金楼层, 精装修房",距9号线九亭1316米,四居室-南卧-28.0㎡,1700,http://www.mgzf.com/room/297210.shtml?page=list&sourceType=2
浦东新区-上南花苑,"周边设施齐全, 绿化覆盖率高, 配备宽带",距13号线北蔡474米,二居室-南卧-25.0㎡,2200,http://www.mgzf.com/room/15228559.shtml?page=list&sourceType=2
浦东新区-金唐公寓,"地理位置优越, 治安良好, 精装修拎包入住",位于 唐镇 附近,3室1厅1卫-85.0㎡ ,5600,http://www.mgzf.com/room/15054262.shtml?page=list&sourceType=2
浦东新区-思浦小区（灵岩南路156弄）,思浦小区，坐拥地铁口10米，全南户型，中心位置，自住装修,距8号线杨思215米,1室1厅1卫-36.0㎡ ,4500,http://www.mgzf.com/room/15214189.shtml?page=list&sourceType=2
嘉定区-柚米国际公寓（江桥店）,"周边设施齐全, 高档品质小区, 舍友素质高",位于 江桥 附近,1室1厅1卫-28.0㎡ 温暖小窝,2999,http://www.mgzf.com/room/13955533.shtml?page=list&sourceType=2
闵行区-浦恒馨苑2161弄,网红租房，会员终身免佣金,距8号线芦恒路1352米,1室0厅1卫-27.0㎡ ,1580,http://www.mgzf.com/room/15137470.shtml?page=list&sourceType=2
