标题,详细,地址,房型,价格,链接
浦东新区-杨思水镜园,"地理位置优越, 安静宜居, 拎包入住",距8号线杨思288米,3室1厅1卫-123.0㎡ ,4900,http://www.mgzf.com/room/15459244.shtml?page=list&sourceType=2
浦东新区-杨思水镜园,"地理位置优越, 安静宜居, 拎包入住",距8号线杨思288米,3室1厅1卫-121.0㎡ ,4800,http://www.mgzf.com/room/15459238.shtml?page=list&sourceType=2
浦东新区-济阳三村,Octopus Apartment 长青路地铁站 拎包入住,距7号线长清路974米,2室1厅1卫-45.0㎡ ,5500,http://www.mgzf.com/room/15459025.shtml?page=list&sourceType=2
浦东新区-岭南苑（凌兆路127弄）,"房间照片实拍, 黄金楼层, 拎包入住",距8号线凌兆新村0米,2室1厅1卫-74.0㎡ ,3100,http://www.mgzf.com/room/15456517.shtml?page=list&sourceType=2
浦东新区-杨思水镜园,（ 微 租 公 寓 ）会 员 终 生 免 佣,距8号线杨思288米,2室1厅1卫-48.0㎡ ,4700,http://www.mgzf.com/room/15314896.shtml?page=list&sourceType=2
浦东新区-东方康达家苑二期,（微租公寓）会员终身免佣   ,距8号线芦恒路715米,1室0厅1卫-20.0㎡ ,1690,http://www.mgzf.com/room/15208474.shtml?page=list&sourceType=2
浦东新区-瑞康苑,网红租房，会员终身免佣金,距8号线芦恒路1223米,3室1厅1卫-82.0㎡ ,4380,http://www.mgzf.com/room/15457324.shtml?page=list&sourceType=2
杨浦区-湾流国际青年社区（隆昌路店）,"社区配套成熟, 物业管理严格, 采光充足",距12号线隆昌路538米,1室0厅1卫-30.0㎡ 原生裸心风中庭A,5000,http://www.mgzf.com/room/8146110.shtml?page=list&sourceType=2
浦东新区-大名城紫金九号,民用水电 房东直租也可分租单间 家电齐全 可随时看房拎包入住,位于 唐镇 附近,4室1厅2卫-92.0㎡ ,5800,http://www.mgzf.com/room/15295513.shtml?page=list&sourceType=2
徐汇区-尊园,蘑菇一点通，租房好轻松,距1号线徐家汇426米,1室0厅1卫-25.0㎡ ,2100,http://www.mgzf.com/room/15449056.shtml?page=list&sourceType=2
浦东新区-三林新村468弄,蘑菇一点通，租房好轻松,距11号线三林1132米,1室0厅1卫-25.0㎡ ,1400,http://www.mgzf.com/room/15448960.shtml?page=list&sourceType=2
浦东新区-三林新村468弄,蘑菇一点通，租房好轻松,距11号线三林1132米,1室0厅1卫-25.0㎡ ,2000,http://www.mgzf.com/room/15448978.shtml?page=list&sourceType=2
浦东新区-上钢八村,Octopus Apartment 拎包入住,距7号线长清路341米,1室1厅1卫-41.0㎡ ,4650,http://www.mgzf.com/room/15449434.shtml?page=list&sourceType=2
浦东新区-依水园(二期),网红租房，会员终身免佣金,距8号线芦恒路1113米,1室1厅1卫-56.0㎡ ,3300,http://www.mgzf.com/room/15449074.shtml?page=list&sourceType=2
浦东新区-依水园& #40;二期& #41;,网红租房，会员终身免佣金,距8号线芦恒路1113米,2室1厅1卫-78.0㎡ ,4300,http://www.mgzf.com/room/15449083.shtml?page=list&sourceType=2
徐汇区-尊园,蘑菇一点通，租房好轻松,距1号线徐家汇426米,1室0厅1卫-25.0㎡ ,2200,http://www.mgzf.com/room/15449062.shtml?page=list&sourceType=2
徐汇区-尊园,蘑菇一点通，租房好轻松,距1号线徐家汇426米,1室0厅1卫-25.0㎡ ,1900,http://www.mgzf.com/room/15449053.shtml?page=list&sourceType=2
浦东新区-川杨新苑一期,"地铁零距离, 性价比高, 舍友素质高",距13号线张江路341米,四居室-南卧-20.0㎡,2188,http://www.mgzf.com/room/15230164.shtml?page=list&sourceType=2
闵行区-浦恒馨苑2161,网红租房，会员终身免佣金,距8号线芦恒路1521米,1室0厅1卫-28.0㎡ ,1680,http://www.mgzf.com/room/15137161.shtml?page=list&sourceType=2
浦东新区-依水园二期,蘑菇一点通，租房很轻松,距8号线芦恒路1115米,2室1厅1卫-88.0㎡ ,3900,http://www.mgzf.com/room/15438946.shtml?page=list&sourceType=2
浦东新区-三林新村468弄,蘑菇一点通，租房好轻松,距11号线三林1132米,1室0厅1卫-25.0㎡ ,1500,http://www.mgzf.com/room/15448963.shtml?page=list&sourceType=2
徐汇区-尊园,蘑菇一点通，租房好轻松,距1号线徐家汇426米,1室0厅1卫-25.0㎡ ,2600,http://www.mgzf.com/room/15449071.shtml?page=list&sourceType=2
浦东新区-云台大厦,有故事的房子  花心思的家  寻有缘人  快快联系吧,距7号线云台路128米,2室2厅1卫-85.0㎡ ,5400,http://www.mgzf.com/room/15447415.shtml?page=list&sourceType=2
浦东新区-依水园& #40;二期& #41;,网红租房，会员终身免佣金,距8号线芦恒路1113米,1室1厅1卫-56.0㎡ ,3500,http://www.mgzf.com/room/15447898.shtml?page=list&sourceType=2
闵行区-浦江柚米寓,整租 全新家具家电 一室一厅独卫 环境干净整洁 冬暖夏凉,距8号线联航路361米,1室1厅1卫-30.0㎡ 冷轻吟,2790,http://www.mgzf.com/room/14988049.shtml?page=list&sourceType=2
徐汇区-尊园,蘑菇一点通，租房好轻松,距1号线徐家汇426米,1室0厅1卫-25.0㎡ ,1850,http://www.mgzf.com/room/15449059.shtml?page=list&sourceType=2
浦东新区-三林新村468弄,蘑菇一点通，租房好轻松,距11号线三林1132米,1室0厅1卫-25.0㎡ ,1800,http://www.mgzf.com/room/15448972.shtml?page=list&sourceType=2
徐汇区-尊园,蘑菇一点通，租房好轻松,距1号线徐家汇426米,1室0厅1卫-25.0㎡ ,2400,http://www.mgzf.com/room/15449065.shtml?page=list&sourceType=2
浦东新区-依水园二期,蘑菇一点通，租房很轻松,距8号线芦恒路1115米,2室1厅1卫-88.0㎡ ,3800,http://www.mgzf.com/room/15438949.shtml?page=list&sourceType=2
浦东新区-依水园二期,蘑菇一点通，租房很轻松,距8号线芦恒路1115米,2室1厅1卫-88.0㎡ ,4200,http://www.mgzf.com/room/15438943.shtml?page=list&sourceType=2
浦东新区-三林新村468弄,蘑菇一点通，租房好轻松,距11号线三林1132米,1室0厅1卫-25.0㎡ ,1600,http://www.mgzf.com/room/15448966.shtml?page=list&sourceType=2
浦东新区-三林新村468弄,蘑菇一点通，租房好轻松,距11号线三林1132米,1室0厅1卫-25.0㎡ ,1300,http://www.mgzf.com/room/15448957.shtml?page=list&sourceType=2
浦东新区-金光小区,"地处中心地段, 视野开阔, 电梯房",距11号线三林288米,2室1厅1卫-75.0㎡ ,5000,http://www.mgzf.com/room/15449095.shtml?page=list&sourceType=2
浦东新区-瑞康苑,网红租房，会员终身免佣金,距8号线芦恒路1223米,3室1厅1卫-98.0㎡ ,4300,http://www.mgzf.com/room/15447982.shtml?page=list&sourceType=2
浦东新区-东方康安家园,网红租房，会员终身免佣金,距8号线芦恒路1173米,3室1厅1卫-98.0㎡ ,4600,http://www.mgzf.com/room/15448510.shtml?page=list&sourceType=2
浦东新区-凌兆二村,8号线凌兆和6号线上南路站 双轨,距6号线灵岩南路530米,2室1厅1卫-82.0㎡ ,3500,http://www.mgzf.com/room/15130699.shtml?page=list&sourceType=2
浦东新区-唐丰苑,"地铁沿线, 绿化覆盖率高, 采光充足",位于 唐镇 附近,三居室-南卧-18.0㎡,1700,http://www.mgzf.com/room/15198994.shtml?page=list&sourceType=2
浦东新区-东方康达二期,"房间照片实拍, 视野开阔, 独立卫浴",位于 三林 附近,1室0厅1卫-28.0㎡ ,1700,http://www.mgzf.com/room/15204442.shtml?page=list&sourceType=2
闵行区-闵浦新苑一村,"交通购物超便利, 治安良好, 拎包入住",距轨道交通浦江线三鲁公路352米,三居室-南卧-22.0㎡,1300,http://www.mgzf.com/room/15192403.shtml?page=list&sourceType=2
浦东新区-翰城国际,"地处繁华商圈, 安静宜居, 家具齐全",距6号线华夏西路725米,3室2厅1卫-120.0㎡ ,6500,http://www.mgzf.com/room/15296857.shtml?page=list&sourceType=2
浦东新区-大华锦绣华城2-2街坊,一周七天都想懒床，换个房子，最晚起床，最早上班,距13号线华鹏路600米,二居室-南卧-22.0㎡,2100,http://www.mgzf.com/room/15203296.shtml?page=list&sourceType=2
浦东新区-浦发绿城,精装全配，三户合租，全独立一室户，位于11号线旁，欢迎看房,距11号线浦三路794米,三居室-南卧-25.0㎡,2500,http://www.mgzf.com/room/15201721.shtml?page=list&sourceType=2
浦东新区-莲康苑,"交通便捷, 高档品质小区, 采光充足",距13号线莲溪路403米,四居室-南卧-24.0㎡,2600,http://www.mgzf.com/room/15229627.shtml?page=list&sourceType=2
浦东新区-申江豪城,"地处中心地段, 治安良好, 电梯房",距8号线杨思702米,1室0厅1卫-28.0㎡ ,1950,http://www.mgzf.com/room/15444736.shtml?page=list&sourceType=2
浦东新区-上南路4362弄,"地处繁华商圈, 绿化覆盖率高, 房间干净整洁",距11号线三林93米,二居室-南卧-30.0㎡,2000,http://www.mgzf.com/room/15229543.shtml?page=list&sourceType=2
闵行区-华侨城八期,( 网 红 租 房 ) 会 员 终 生 免 拥,距8号线浦江镇937米,1室0厅1卫-40.0㎡ ,1400,http://www.mgzf.com/room/15144352.shtml?page=list&sourceType=2
浦东新区-金利公寓,金利公寓 精装一室带独卫 可办居住证 落户 拎包入住,位于 唐镇 附近,四居室-南卧-23.0㎡,2400,http://www.mgzf.com/room/15140299.shtml?page=list&sourceType=2
徐汇区-古北金鹰府,"交通便捷, 黄金楼层, 精装修房",距3号线宜山路535米,1室1厅1卫-55.0㎡ ,6500,http://www.mgzf.com/room/8776343.shtml?page=list&sourceType=2
浦东新区-凌兆十五村,"社区配套成熟, 高档品质小区, 房间朝向好",距6号线灵岩南路351米,1室1厅1卫-56.0㎡ ,3900,http://www.mgzf.com/room/15180430.shtml?page=list&sourceType=2
浦东新区-依水园二期,蘑菇一点通，租房很轻松,距8号线芦恒路1115米,2室1厅1卫-88.0㎡ ,3800,http://www.mgzf.com/room/15438940.shtml?page=list&sourceType=2
浦东新区-依水园二期,蘑菇一点通，租房很轻松,距8号线芦恒路1115米,2室1厅1卫-88.0㎡ ,3500,http://www.mgzf.com/room/15438937.shtml?page=list&sourceType=2
浦东新区-依水园二期,蘑菇一点通，租房很轻松,距8号线芦恒路1115米,2室1厅1卫-88.0㎡ ,3000,http://www.mgzf.com/room/15438928.shtml?page=list&sourceType=2
浦东新区-依水园二期,蘑菇一点通，租房很轻松,距8号线芦恒路1115米,2室1厅1卫-88.0㎡ ,4350,http://www.mgzf.com/room/15438958.shtml?page=list&sourceType=2
浦东新区-依水园二期,蘑菇一点通，租房很轻松,距8号线芦恒路1115米,2室1厅1卫-88.0㎡ ,3200,http://www.mgzf.com/room/15438931.shtml?page=list&sourceType=2
浦东新区-东方康德家园971弄,网红租房，会员终身免佣金,距8号线芦恒路1741米,2室1厅1卫-20.0㎡ ,3800,http://www.mgzf.com/room/15156571.shtml?page=list&sourceType=2
闵行区-自由公寓,"房间照片实拍, 安静宜居, 拎包入住",距1号线莘庄795米,1室0厅1卫-20.0㎡ 复式,2000,http://www.mgzf.com/room/4423351.shtml?page=list&sourceType=2
浦东新区-休思公寓,"交通购物超便利, 可随时看房, 家具齐全",距8号线杨思275米,1室0厅1卫-20.0㎡ 明窗小间,2700,http://www.mgzf.com/room/1222824.shtml?page=list&sourceType=2
徐汇区-云锦东方,蘑菇租房一点通，租房好轻松,距11号线云锦路488米,1室1厅1卫-55.0㎡ ,5000,http://www.mgzf.com/room/15438376.shtml?page=list&sourceType=2
徐汇区-云锦东方,蘑菇租房一点通，租房好轻松,距11号线云锦路488米,1室1厅1卫-55.0㎡ ,4900,http://www.mgzf.com/room/15438373.shtml?page=list&sourceType=2
徐汇区-云锦东方,蘑菇租房一点通，租房好轻松,距11号线云锦路488米,1室1厅1卫-55.0㎡ ,4300,http://www.mgzf.com/room/15438388.shtml?page=list&sourceType=2
徐汇区-云锦东方,蘑菇租房一点通，租房好轻松,距11号线云锦路488米,1室1厅1卫-55.0㎡ ,4500,http://www.mgzf.com/room/15438361.shtml?page=list&sourceType=2
徐汇区-云锦东方,蘑菇租房一点通，租房好轻松,距11号线云锦路488米,1室1厅1卫-55.0㎡ ,4500,http://www.mgzf.com/room/15438361.shtml?page=list&sourceType=2
浦东新区-依水园二期,蘑菇一点通，租房很轻松,距8号线芦恒路1115米,2室1厅1卫-88.0㎡ ,3950,http://www.mgzf.com/room/15438955.shtml?page=list&sourceType=2
徐汇区-云锦东方,蘑菇租房一点通，租房好轻松,距11号线云锦路488米,1室1厅1卫-55.0㎡ ,5200,http://www.mgzf.com/room/15438382.shtml?page=list&sourceType=2
浦东新区-依水园二期,蘑菇一点通，租房很轻松,距8号线芦恒路1115米,2室1厅1卫-88.0㎡ ,3850,http://www.mgzf.com/room/15438952.shtml?page=list&sourceType=2
浦东新区-依水园二期,蘑菇一点通，租房很轻松,距8号线芦恒路1115米,2室1厅1卫-88.0㎡ ,3300,http://www.mgzf.com/room/15438934.shtml?page=list&sourceType=2
闵行区-浦恒馨苑2159弄,"地处繁华商圈, 高档品质小区, 房间朝向好",位于 浦江镇 附近,3室1厅1卫-102.0㎡ ,3600,http://www.mgzf.com/room/15158005.shtml?page=list&sourceType=2
浦东新区-瀚林苑,"地处繁华商圈, 安静宜居, 电梯房",距6号线上南路434米,2室1厅1卫-90.0㎡ ,5200,http://www.mgzf.com/room/15437749.shtml?page=list&sourceType=2
浦东新区-瀚林苑,"地处繁华商圈, 安静宜居, 电梯房",距6号线上南路434米,2室1厅1卫-85.0㎡ ,5200,http://www.mgzf.com/room/15437755.shtml?page=list&sourceType=2
闵行区-滨浦新苑一村,联航路 滨浦新苑一村 一室户 精装 随时可以入住 押一付一,距8号线联航路724米,1室1厅1卫-45.0㎡ ,1450,http://www.mgzf.com/room/15194353.shtml?page=list&sourceType=2
浦东新区-瀚林苑,"房间照片实拍, 中高楼层, 独立卫浴",距6号线上南路434米,3室1厅1卫-113.0㎡ ,6900,http://www.mgzf.com/room/15438556.shtml?page=list&sourceType=2
徐汇区-云锦东方,蘑菇租房一点通，租房好轻松,距11号线云锦路488米,2室1厅1卫-88.0㎡ ,5300,http://www.mgzf.com/room/15438379.shtml?page=list&sourceType=2
徐汇区-云锦东方,蘑菇租房一点通，租房好轻松,距11号线云锦路488米,1室1厅1卫-55.0㎡ ,4800,http://www.mgzf.com/room/15438370.shtml?page=list&sourceType=2
松江区-星辰园,"星辰园，交通购物超便利, 免服务费，可随时看房, 房间朝向好",距9号线松江大学城545米,四居室-南卧-18.0㎡,1800,http://www.mgzf.com/room/1732681.shtml?page=list&sourceType=2
浦东新区-瀚林苑,"地处繁华商圈, 安静宜居, 电梯房",距6号线上南路434米,2室1厅1卫-87.0㎡ ,5350,http://www.mgzf.com/room/15437752.shtml?page=list&sourceType=2
徐汇区-云锦东方,蘑菇租房一点通，租房好轻松,距11号线云锦路488米,1室1厅1卫-55.0㎡ ,4700,http://www.mgzf.com/room/15438367.shtml?page=list&sourceType=2
徐汇区-云锦东方,蘑菇租房一点通，找房很轻松,距11号线云锦路488米,1室1厅1卫-66.0㎡ ,3500,http://www.mgzf.com/room/15438094.shtml?page=list&sourceType=2
松江区-蓝色剑桥元庭,"地处繁华商圈, 中高楼层, 采光充足",位于 松江新城 附近,六居室-东卧-24.0㎡,1500,http://www.mgzf.com/room/478926.shtml?page=list&sourceType=2
浦东新区-长清苑,有故事的房子  花心思的家  寻有缘人  快快联系吧,距8号线杨思665米,2室2厅1卫-95.0㎡ ,5200,http://www.mgzf.com/room/15436711.shtml?page=list&sourceType=2
浦东新区-潍坊四村,(微租公寓)会员终身免佣,距6号线浦电路499米,1室0厅1卫-25.0㎡ ,2100,http://www.mgzf.com/room/15320794.shtml?page=list&sourceType=2
浦东新区-华城秀庭,有故事的房子  花心思的家  寻有缘人  快快联系吧,距8号线杨思446米,2室2厅1卫-95.0㎡ ,4800,http://www.mgzf.com/room/15436540.shtml?page=list&sourceType=2
浦东新区-上钢二村,"地铁沿线, 物业管理严格, 精装修房",距7号线耀华路268米,2室1厅1卫-65.0㎡ ,4500,http://www.mgzf.com/room/15283672.shtml?page=list&sourceType=2
浦东新区-华城丽苑,有故事的房子  花心思的家  寻有缘人  快快联系吧,距8号线杨思455米,2室2厅1卫-85.0㎡ ,5000,http://www.mgzf.com/room/15437020.shtml?page=list&sourceType=2
浦东新区-盛世南苑,房屋出租，喜欢，加微信Msj4948,距8号线芦恒路408米,1室0厅1卫-25.0㎡ ,1800,http://www.mgzf.com/room/15187543.shtml?page=list&sourceType=2
浦东新区-洪山花苑,有故事的房子  花心思的家  寻有缘人  快快联系吧,距8号线成山路350米,2室1厅1卫-80.0㎡ ,5500,http://www.mgzf.com/room/15436144.shtml?page=list&sourceType=2
浦东新区-城建大厦,有故事的房子  花心思的家  寻有缘人  快快联系吧,距8号线成山路100米,2室1厅1卫-85.0㎡ ,5200,http://www.mgzf.com/room/15436081.shtml?page=list&sourceType=2
浦东新区-中星云庭,"周边设施齐全, 安静宜居, 房间朝向好",距8号线成山路629米,2室2厅1卫-95.0㎡ ,6200,http://www.mgzf.com/room/15436216.shtml?page=list&sourceType=2
浦东新区-博学家园1899弄,"周边设施齐全, 中高楼层, 电梯房",距6号线高青路440米,1室0厅1卫-29.0㎡ ,2000,http://www.mgzf.com/room/15220648.shtml?page=list&sourceType=2
浦东新区-YOUNG青年社区世博家园店,全景落地窗、复式结构、两室户、管家服务、直达电梯、免费停车,距11号线浦三路1373米,2室1厅1卫-55.0㎡ 南北大LOFT室,4100,http://www.mgzf.com/room/15201259.shtml?page=list&sourceType=2
浦东新区-休思公寓,"地铁沿线, 可随时看房, 房间朝向好",距8号线杨思275米,1室0厅1卫-25.0㎡ 朝东明窗房,3000,http://www.mgzf.com/room/729566.shtml?page=list&sourceType=2
闵行区-浦江智汇园,"交通购物超便利, 高档品质小区, 采光充足",距8号线联航路985米,1室1厅1卫-55.0㎡ ,1700,http://www.mgzf.com/room/15165232.shtml?page=list&sourceType=2
浦东新区-唐丰苑,房东直租，无中介费，无服务费，原始户型，百套房可选，张江唐镇,位于 唐镇 附近,2室1厅1卫-58.0㎡ ,3900,http://www.mgzf.com/room/15141712.shtml?page=list&sourceType=2
浦东新区-博学家园1899弄,"地理位置优越, 绿化覆盖率高, 电梯房",距6号线高青路440米,1室0厅1卫-30.0㎡ ,1600,http://www.mgzf.com/room/15273154.shtml?page=list&sourceType=2
闵行区-柚米国际社区七莘路,"地铁沿线, 中高楼层, 房间朝向好",距12号线七莘路533米,1室1厅1卫-28.0㎡ 标间G,3200,http://www.mgzf.com/room/14013979.shtml?page=list&sourceType=2
浦东新区-银马苑,"社区配套成熟, 物业管理严格, 配备宽带",距8号线杨思306米,3室1厅1卫-99.0㎡ ,4500,http://www.mgzf.com/room/15431824.shtml?page=list&sourceType=2
浦东新区-银马苑,"交通便利, 黄金楼层, 房间朝向好",距8号线杨思306米,3室1厅1卫-98.0㎡ ,3880,http://www.mgzf.com/room/15431770.shtml?page=list&sourceType=2
浦东新区-东方康达家苑一期,精装修一房，在城市高楼里，推门而入，却仿佛走进奇妙的大自然。,距8号线芦恒路642米,1室1厅1卫-58.0㎡ ,3800,http://www.mgzf.com/room/15431044.shtml?page=list&sourceType=2
闵行区-浦江颐城晶寓,家乐福旁边 一室户 浦江颐城晶寓 精装修 押一付一。。,距8号线浦江镇291米,1室1厅1卫-40.0㎡ ,1750,http://www.mgzf.com/room/15177517.shtml?page=list&sourceType=2
浦东新区-万邦都市花园,精装两房，实拍照片，自住装修，看房可随时预约。,距2号线龙阳路425米,2室2厅2卫-135.0㎡ ,8800,http://www.mgzf.com/room/15431137.shtml?page=list&sourceType=2
浦东新区-士韵家园(三期),"周边设施齐全, 治安良好, 房间朝向好",距8号线芦恒路508米,3室2厅1卫-110.0㎡ ,4300,http://www.mgzf.com/room/15430873.shtml?page=list&sourceType=2
浦东新区-永泰花苑,三林11号线6号线双轨地铁房 ,距11号线三林772米,2室1厅1卫-74.0㎡ ,4299,http://www.mgzf.com/room/15176275.shtml?page=list&sourceType=2
浦东新区-绿波家园,"地理位置优越, 物业管理严格, 电梯房",距8号线芦恒路342米,1室1厅1卫-65.0㎡ ,4200,http://www.mgzf.com/room/15430612.shtml?page=list&sourceType=2
闵行区-闵浦新苑五村,8号线精装修一室一厅，直达人民广场，押一付一随时看,距轨道交通浦江线三鲁公路1072米,1室1厅1卫-56.0㎡ ,2200,http://www.mgzf.com/room/15004705.shtml?page=list&sourceType=2
浦东新区-德祥苑,精装朝北次卧，全配随时看房,距13号线陈春路290米,二居室-南卧-24.0㎡,1560,http://www.mgzf.com/room/15208378.shtml?page=list&sourceType=2
浦东新区-三新路5弄小区,"地处中心地段, 治安良好, 电梯房",距11号线三林576米,1室0厅1卫-30.0㎡ ,1400,http://www.mgzf.com/room/15430837.shtml?page=list&sourceType=2
浦东新区-万嘉欣苑,"社区配套成熟, 高档品质小区, 家具齐全",位于 唐镇 附近,三居室-南卧-22.0㎡,1650,http://www.mgzf.com/room/15213241.shtml?page=list&sourceType=2
浦东新区-浦发绿城,"交通购物超便利, 视野开阔, 精装修房",距11号线浦三路794米,1室1厅1卫-48.0㎡ ,3500,http://www.mgzf.com/room/15428116.shtml?page=list&sourceType=2
闵行区-浦江世博家园十街坊,"交通购物超便利, 视野开阔, 独立卫浴",距8号线联航路382米,2室2厅1卫-29.0㎡ ,2900,http://www.mgzf.com/room/15427867.shtml?page=list&sourceType=2
浦东新区-东方悦居,东方悦居，8号线杨思站，房间干净明亮，喜欢的来,距6号线东明路912米,三居室-南卧-19.0㎡,1800,http://www.mgzf.com/room/15261346.shtml?page=list&sourceType=2
闵行区-浦江旭辉国际,"地处中心地段, 安静宜居, 精装修房",距8号线联航路335米,2室2厅1卫-69.0㎡ ,2700,http://www.mgzf.com/room/15427828.shtml?page=list&sourceType=2
浦东新区-唐丰苑,"房间照片实拍, 高档品质小区, 采光充足",位于 唐镇 附近,四居室-南卧-16.0㎡,1900,http://www.mgzf.com/room/15146434.shtml?page=list&sourceType=2
浦东新区-金唐公寓,二号线唐镇站，金唐公寓精装大三房，可付一押一，无中介费,位于 唐镇 附近,3室1厅1卫-85.0㎡ ,5600,http://www.mgzf.com/room/15056383.shtml?page=list&sourceType=2
浦东新区-上南花苑三期（259弄）,"社区配套成熟, 安静宜居, 房间朝向好",距7号线云台路381米,2室2厅2卫-105.0㎡ ,5000,http://www.mgzf.com/room/15311623.shtml?page=list&sourceType=2
浦东新区-桃李家园,"交通购物超便利, 治安良好, 精装修房",距6号线高青路827米,1室1厅1卫-50.0㎡ ,3300,http://www.mgzf.com/room/15425878.shtml?page=list&sourceType=2
浦东新区-三林安居苑,"社区配套成熟, 视野开阔, 舍友素质高",距11号线三林东249米,3室2厅1卫-98.0㎡ ,4680,http://www.mgzf.com/room/15426019.shtml?page=list&sourceType=2
闵行区-浦江颐城晶寓,"地处繁华商圈, 高档品质小区, 精装修房",距8号线浦江镇291米,2室2厅1卫-62.0㎡ ,3200,http://www.mgzf.com/room/15425638.shtml?page=list&sourceType=2
浦东新区-华夏小区,"地铁沿线, 物业管理严格, 房间朝向好",距8号线杨思259米,1室1厅1卫-38.0㎡ ,2600,http://www.mgzf.com/room/15425809.shtml?page=list&sourceType=2
浦东新区-三林安居苑,"社区配套成熟, 视野开阔, 舍友素质高",距11号线三林东249米,3室2厅1卫-98.0㎡ ,4680,http://www.mgzf.com/room/15426019.shtml?page=list&sourceType=2
浦东新区-三林安居苑,"社区配套成熟, 视野开阔, 舍友素质高",距11号线三林东249米,3室2厅1卫-98.0㎡ ,4680,http://www.mgzf.com/room/15426007.shtml?page=list&sourceType=2
浦东新区-三林新村468弄,"地处中心地段, 视野开阔, 采光充足",距11号线三林1132米,1室1厅1卫-50.0㎡ ,3650,http://www.mgzf.com/room/15426985.shtml?page=list&sourceType=2
闵行区-浦江世博家园十街坊,"地理位置优越, 视野开阔, 独立卫浴",距8号线联航路382米,2室2厅1卫-69.0㎡ ,2600,http://www.mgzf.com/room/15425497.shtml?page=list&sourceType=2
浦东新区-三林安居苑,"交通便捷, 高档品质小区, 房间干净整洁",距11号线三林东249米,1室0厅1卫-20.0㎡ ,1800,http://www.mgzf.com/room/15425599.shtml?page=list&sourceType=2
浦东新区-三林安居苑,"交通便捷, 高档品质小区, 房间干净整洁",距11号线三林东249米,1室0厅1卫-18.0㎡ ,2700,http://www.mgzf.com/room/15425605.shtml?page=list&sourceType=2
闵行区-浦江世博家园十四街坊,"交通便捷, 高档品质小区, 采光充足",距8号线联航路553米,2室2厅1卫-59.0㎡ ,2500,http://www.mgzf.com/room/15425554.shtml?page=list&sourceType=2
浦东新区-三林新村468弄,"地处繁华商圈, 治安良好, 配备宽带",距11号线三林1132米,2室1厅1卫-75.0㎡ ,4350,http://www.mgzf.com/room/15425725.shtml?page=list&sourceType=2
浦东新区-三林安居苑,"交通便捷, 高档品质小区, 房间干净整洁",距11号线三林东249米,1室0厅1卫-18.0㎡ ,2100,http://www.mgzf.com/room/15425611.shtml?page=list&sourceType=2
闵行区-红星美凯龙(联航路店),"地处中心地段, 物业管理严格, 配备宽带",距8号线联航路692米,2室2厅1卫-60.0㎡ ,2800,http://www.mgzf.com/room/15425806.shtml?page=list&sourceType=2
浦东新区-三林新村468弄,"地处繁华商圈, 治安良好, 配备宽带",距11号线三林1132米,2室1厅1卫-75.0㎡ ,4350,http://www.mgzf.com/room/15425728.shtml?page=list&sourceType=2
浦东新区-三林新村（永泰路59弄）,网红租房，会员终身免佣金。,距11号线三林291米,1室0厅1卫-20.0㎡ ,1580,http://www.mgzf.com/room/15254830.shtml?page=list&sourceType=2
